idcliente;retorno_fornecedora
2606;10 - Cancelado
2950;10 - Cancelado
4627;10 - Cancelado
5096;10 - Cancelado
8894;10 - Cancelado
9039;10 - Cancelado
9052;10 - Cancelado
9057;10 - Cancelado
9797;10 - Cancelado
10325;10 - Cancelado
10333;10 - Cancelado
10634;10 - Cancelado
11246;10 - Cancelado
11493;10 - Cancelado
11700;10 - Cancelado
11818;10 - Cancelado
11987;10 - Cancelado
12142;10 - Cancelado
12212;10 - Cancelado
12591;10 - Cancelado
12838;13 - Denunciado - Compensação
13228;13 - Denunciado - Compensação
13303;10 - Cancelado
13509;10 - Cancelado
13565;10 - Cancelado
14264;10 - Cancelado
14455;10 - Cancelado
14971;10 - Cancelado
15098;10 - Cancelado
15494;10 - Cancelado
15522;10 - Cancelado
15649;10 - Cancelado
16488;10 - Cancelado
17407;10 - Cancelado
18523;10 - Cancelado
18736;10 - Cancelado
18855;10 - Cancelado
19156;10 - Cancelado
19619;10 - Cancelado
19656;10 - Cancelado
19910;10 - Cancelado
19992;10 - Cancelado
20107;10 - Cancelado
20216;10 - Cancelado
20484;10 - Cancelado
21359;10 - Cancelado
21652;10 - Cancelado
22360;10 - Cancelado
22729;10 - Cancelado
23017;10 - Cancelado
23046;10 - Cancelado
23171;10 - Cancelado
23233;10 - Cancelado
23332;10 - Cancelado
23371;10 - Cancelado
23407;10 - Cancelado
23467;10 - Cancelado
23517;10 - Cancelado
23638;10 - Cancelado
23695;10 - Cancelado
23883;10 - Cancelado
23902;13 - Denunciado - Compensação
23938;10 - Cancelado
23940;10 - Cancelado
24044;13 - Denunciado - Compensação
24046;13 - Denunciado - Compensação
24076;10 - Cancelado
24204;10 - Cancelado
24227;10 - Cancelado
24230;10 - Cancelado
24248;13 - Denunciado - Compensação
24263;10 - Cancelado
24274;13 - Denunciado - Compensação
24333;10 - Cancelado
24379;10 - Cancelado
24390;10 - Cancelado
24438;10 - Cancelado
24527;10 - Cancelado
24540;10 - Cancelado
24589;10 - Cancelado
24590;10 - Cancelado
24592;10 - Cancelado
24605;10 - Cancelado
24643;10 - Cancelado
24656;10 - Cancelado
24675;10 - Cancelado
24715;10 - Cancelado
24736;10 - Cancelado
24890;10 - Cancelado
24922;10 - Cancelado
24927;10 - Cancelado
24949;10 - Cancelado
24965;10 - Cancelado
25000;10 - Cancelado
25051;10 - Cancelado
25074;10 - Cancelado
25112;13 - Denunciado - Compensação
25118;10 - Cancelado
25142;10 - Cancelado
25166;13 - Denunciado - Compensação
25168;10 - Cancelado
25192;10 - Cancelado
25195;10 - Cancelado
25329;10 - Cancelado
25362;10 - Cancelado
25372;13 - Denunciado - Compensação
25383;10 - Cancelado
25398;10 - Cancelado
25455;10 - Cancelado
25500;10 - Cancelado
25596;13 - Denunciado - Compensação
25705;10 - Cancelado
25731;10 - Cancelado
25814;13 - Denunciado - Compensação
25880;13 - Denunciado - Compensação
26029;10 - Cancelado
26062;10 - Cancelado
26063;10 - Cancelado
26073;10 - Cancelado
26135;10 - Cancelado
26178;13 - Denunciado - Compensação
26248;10 - Cancelado
26273;10 - Cancelado
26339;10 - Cancelado
26340;10 - Cancelado
26361;10 - Cancelado
26455;10 - Cancelado
26736;10 - Cancelado
26818;10 - Cancelado
26852;10 - Cancelado
27138;10 - Cancelado
27463;10 - Cancelado
27907;10 - Cancelado
28024;10 - Cancelado
28141;10 - Cancelado
28198;10 - Cancelado
28218;10 - Cancelado
28367;10 - Cancelado
28374;10 - Cancelado
28399;10 - Cancelado
28449;10 - Cancelado
28456;10 - Cancelado
28562;10 - Cancelado
28563;10 - Cancelado
28595;10 - Cancelado
28677;10 - Cancelado
28694;10 - Cancelado
28699;10 - Cancelado
28714;10 - Cancelado
28725;13 - Denunciado - Compensação
28755;10 - Cancelado
28757;13 - Denunciado - Compensação
28760;10 - Cancelado
28767;10 - Cancelado
28773;10 - Cancelado
28774;10 - Cancelado
28799;10 - Cancelado
28996;10 - Cancelado
29110;10 - Cancelado
29137;10 - Cancelado
29152;10 - Cancelado
29234;10 - Cancelado
29357;10 - Cancelado
29435;13 - Denunciado - Compensação
29437;10 - Cancelado
29483;13 - Denunciado - Compensação
29584;10 - Cancelado
29692;10 - Cancelado
29740;10 - Cancelado
29778;10 - Cancelado
29835;10 - Cancelado
29855;10 - Cancelado
29908;10 - Cancelado
29925;10 - Cancelado
30001;10 - Cancelado
30044;10 - Cancelado
30082;10 - Cancelado
30138;10 - Cancelado
30166;10 - Cancelado
30206;13 - Denunciado - Compensação
30212;10 - Cancelado
30269;10 - Cancelado
30297;10 - Cancelado
30298;10 - Cancelado
30300;10 - Cancelado
30370;10 - Cancelado
30396;10 - Cancelado
30412;13 - Denunciado - Compensação
30420;10 - Cancelado
30421;10 - Cancelado
30458;10 - Cancelado
30468;10 - Cancelado
30575;10 - Cancelado
30599;10 - Cancelado
30660;10 - Cancelado
30675;10 - Cancelado
30683;10 - Cancelado
30697;10 - Cancelado
30710;10 - Cancelado
30713;13 - Denunciado - Compensação
30749;10 - Cancelado
30756;10 - Cancelado
30796;10 - Cancelado
30812;10 - Cancelado
30852;10 - Cancelado
30914;10 - Cancelado
30924;10 - Cancelado
30927;10 - Cancelado
30944;10 - Cancelado
30970;10 - Cancelado
30973;13 - Denunciado - Compensação
31029;10 - Cancelado
31035;10 - Cancelado
31046;10 - Cancelado
31082;10 - Cancelado
31113;10 - Cancelado
31153;10 - Cancelado
31159;10 - Cancelado
31169;13 - Denunciado - Compensação
31170;10 - Cancelado
31234;10 - Cancelado
31273;10 - Cancelado
31289;10 - Cancelado
31317;10 - Cancelado
31328;10 - Cancelado
31423;10 - Cancelado
31459;10 - Cancelado
31474;10 - Cancelado
31508;10 - Cancelado
31512;10 - Cancelado
31590;10 - Cancelado
31606;10 - Cancelado
31638;10 - Cancelado
31715;10 - Cancelado
31768;10 - Cancelado
31786;10 - Cancelado
31791;10 - Cancelado
31796;10 - Cancelado
31801;10 - Cancelado
31858;10 - Cancelado
31961;10 - Cancelado
